"Order","訂單"
"Price","價格"
"Total","總數"
"Zipcode","區碼"
"Reorder","再訂購"
"Add to cart","加入購物車"
"Message from support","支援信息"
"Message sent.","已發出信息。"
"I don't work with groups.","我並不在群組中工作。"
"Something went wrong, please try again.","有些問題出現了，請再試一次。"
"Ok","Ok"
"Okay","Okay"
"Cool","酷"
"Awesome","正"
"Added. To checkout send","已加進了。結賬請送出"
"Sorry, no products found in this category.","對不起，此類別暫時沒有產品。"
"Sorry, no products found for this criteria.","對不起，按此要求暫時找不到產品。"
"we have sent your message to support.","我們已把你的信息轉送給了支援團隊。"
"Select a category","選擇類別"
"Products on cart","購物車中的產品"
"Checkout Here","從此處結賬"
"Your cart is empty.","你的購物車是空的。"
"Cart cleared.","已清空了購物車。"
"what do you want to search for?","請問你想找什麼呢？"
"To login to your account, click this link","按此連結登入閣下之賬戶"
"let me fetch that for you.","等我幫你找找。"
"Please login first.","請先登入。"
"to checkout send","結賬請送出"
"what do you need support for?","你需要什麼協助呢？"
"exiting support mode.","正在離開支援模式。"
"Done.","已完成。"
"Sorry, I didn't understand that.","對不起，我不太明白。"
"Ok, canceled.","好的，已取消了。"
"Your account is now attached with our chatbot.","你的賬戶已跟聊天機器人接好了。"
"Chatbot settings saved successfully.","成功儲存聊天機器人設定。"
"List store categories.","列出類別清單。"
"Search for products.","搜尋產品。"
"Login into your account.","登入你的賬戶。"
"Logout from your account.","登出你的賬戶。"
"List your personal orders.","列出你的個人訂單。"
"Reorder a order.","再訂購。"
"Add product to cart.","把產品加進購物車。"
"Checkout your order.","結賬"
"Clear your cart.","清空你的購物車。"
"Track your order status.","追蹤你的訂單狀態。"
"Send message to support.","發送信息給支援團隊。"
"Send email.","發送電郵。"
"Cancel.","取消。"
"Get help.","尋求協助。"
"About.","關於。"
"Webhook for Telegram configured.","已設定好 Telegram 的 Webhook。"
"Command list","指令清單"
"This account has no orders.","此賬戶沒有訂單。"
"write the email content.","撰寫電郵內容。"
"By doing this you agree that we may contact you directly via chat message."閣下同意接受我們直接跟你用聊天信息聯絡。"
"Trying to send the email...","正嘗試發送電郵..."
"Contact from chatbot","聊天機器人的聯絡"
"Sorry, I wasn't able to send an email this time. Please try again later.","對不起，這次我未能發出電郵。請稍候再試。"
"Not informed","未有告知"
"Message from chatbot customer","來自聊天機器人客戶的信息"
"Customer name","客戶名稱"
"Message","信息"
"Contacts","聯絡人"
"To cancel, send","要取消的話，請發出"
"Chatbot","聊天機器人"
"Email","電郵"
"send the order number.","發出訂單編號。"
"Sorry, we couldn't find any order with this information.","對不起，我們未能就這資料找到任何訂單。"
"Your account dosen't have any orders.","你的賬戶沒有任何訂單。"
"To talk with me, please enable Telegram on your account chatbot settings.","再跟我對話，請先開啟 Telegram 內的 chatbot 設定。"
"Start a bot conversation on Telegram","在 Telegram 上開始機器人對話"
"Start a bot conversation on Facebook Messenger","在 Facebook Messenger 上開始機器人對話"
"Here","此處"
"Enable Telegram?","啟用 Telegram？"
"Enable Facebook?","啟用 Facebook？"
"Enable Whatsapp?","啟用 WhatsApp？"
"Enable Wechat?","啟用 WeChat？"
"To talk with me, please enable Facebook Messenger on your account chatbot settings.","再跟我對話，請先開啟 Facebook Messenger 內的 chatbot 設定。"
"Visit product's page","瀏覽產品專頁"
"Processing...","處理中..."
"Please wait while I check that for you.","請等等，我正常處理中。"
"Login","登入"
"To login to your account, click the link below","按此連結登入閣下之賬戶""
"You're already logged.","你已經登入。"
"You're not logged.","你還未登入。"
"Message via","信息來自"
"From","由"
"You're already on support in other chat application, please close it before opening a new one.","你已於另一個聊天軟件內得到支援，請先關閉再開新檔。"
"Show more","顯示更多"
"Show more orders","顯示更多訂單"
"To show more, send","要顯示更多，請發出"
"No categories available at the moment, please try again later.","現在沒有任何類別，請稍候再試。"
"Done. This category has %s products.","已完成。此類別有 %s 件產品。"
"Done. This category has only one product.","已完成。此類別只有 1 件產品。"
"Done. I've found %s products for your criteria.","已完成。我按你的要求找到了 %s 件產品。"
"Done. I've found only one product for your criteria.","已完成。我按你的要求只找到了 1 件產品。"
"Done. You've only one order.","已完成。你只有一則訂單。"
"Done. I've found %s orders.","已完成。我找到了 %s 則訂單。"
"Please wait while our support check your message so you can talk to a real person.","請等候我們的支援團隊查閱閣下的信息再安排跟真人對話。"
"Please use","請使用"
"your message here.","你在此的信息。"
"We're working on this feature.","我們正常落力完成這功能。"
"Done. The customer is no longer on support.","已完成。這客戶已不再接受支援。"
"Support ended.","支援結束。"
"You're now on support mode.","已開啟支援模式。"
"Ok, send me the message and I'll forward it to the customer.","好的，請發信息給我，我會再轉發給客戶。"
"Done. The customer is no longer able to enter support.","已完成。此客戶無法再進入支援。"
"Done. The customer is now able to enter support.","已完成。此客戶現在能夠進入支援。"
"I'm sorry, you can't ask for support now. Please try again later.","對不起，你暫時無法得到支援。請稍候再試。"
"Block support","阻止支援"
"Enable support","啟用支援"
"End support","結束支援"
"Reply this message","回覆信息"
"ID","ID"
"Enable/Disable support","啟用/關閉支援"
"Ok, logging out.","好的，正在登出。"
"please wait while I prepare the checkout for you.","請等候我準備給你結賬。"
"please wait while I gather your orders for listing.","請等候我列出你的訂單。"
"please wait while I add the products from this order to your cart.","請等候我把這訂單中的產品加進你的購物車。"
"adding %s to your cart.","正在添加 %s 進你的購物車。"
"please wait while I gather all categories for you.","請等候我給你顯示所有類別。"
"please wait while I search for '%s' for you.","請等候我給你搜尋 %s"
"please wait while I check the status for order %s.","請等候我給你查詢訂單 %s 的狀態。"
"this product","此產品"
"listing more.","列出更多。"
"please wait while I gather all products from %s for you.","請等候我給你從 %s 顯示所有產品。"
"Phrase","詞組"
"Reply","回覆"
"Similarity (%)","相似程度 (%)"
"Add","添加"
"Command","指令"
"Command Code","指令代碼"
"Alias","別名"
"Match Case","符合大小寫"
"And that was the last one.","這是最後一個。"
"please wait while I clear your cart.","請等候我清空你的購物車。"
"Webhook URL","Webhook URL 位址"
"Click %s to check that information on Telegram website. If a wrong URL is set, try reloading this page or click %s.","點選 %s 從 Telegram 網站查看資訊。如果連結錯誤，請嘗試刷新這頁或點按 %s。"
"here","此處"
"To configure Facebook webhook access","要設定接上 Facebook webhook"
"and set the webhook URL as","及設定 webhook URL 位址為"
"Create a new account.","建立新賬戶。"
"Access %s to register a new account on our shop.","經由 %s 在我們的商店登記新賬戶。"
"This product is not in stock.","此產品還未在存貨。"
